Date,META_Close,META_Volume,ORCL_Close,ORCL_Volume,COST_Close,COST_Volume,NFLX_Close,NFLX_Volume,XOM_Close,XOM_Volume,AMGN_Close,AMGN_Volume,PG_Close,PG_Volume,NKE_Close,NKE_Volume,JNJ_Close,JNJ_Volume,V_Close,V_Volume,GE_Close,GE_Volume,T_Close,T_Volume,CRM_Close,CRM_Volume,BMY_Close,BMY_Volume,MA_Close,MA_Volume,NVDA_Close,NVDA_Volume,IBM_Close,IBM_Volume,BA_Close,BA_Volume,DIS_Close,DIS_Volume,CVX_Close,CVX_Volume,AXP_Close,AXP_Volume,AVGO_Close,AVGO_Volume,BRK-B_Close,BRK-B_Volume,WFC_Close,WFC_Volume,MDT_Close,MDT_Volume,MCD_Close,MCD_Volume,ACN_Close,ACN_Volume,GOOG_Close,GOOG_Volume,GS_Close,GS_Volume,C_Close,C_Volume,KO_Close,KO_Volume,CAT_Close,CAT_Volume,COP_Close,COP_Volume,TSLA_Close,TSLA_Volume,CL_Close,CL_Volume,AMZN_Close,AMZN_Volume,MSFT_Close,MSFT_Volume,CSCO_Close,CSCO_Volume,ABBV_Close,ABBV_Volume,AMD_Close,AMD_Volume,QCOM_Close,QCOM_Volume,TXN_Close,TXN_Volume,INTC_Close,INTC_Volume,PEP_Close,PEP_Volume,UNH_Close,UNH_Volume,HON_Close,HON_Volume,ADBE_Close,ADBE_Volume,JPM_Close,JPM_Volume,PFE_Close,PFE_Volume,AAPL_Close,AAPL_Volume
1/31/2024,388.3099060058594,20180800,110.50650024414062,7386700,690.0828247070312,1928500,564.1099853515625,4857600,98.53729248046876,22415300,302.59820556640625,3456700,153.35614013671875,8870000,99.31507110595705,11547600,152.80062866210938,8256800,270.7315979003906,6139300,104.79466247558594,6253472,16.71796417236328,52968100,279.5287170410156,4557300,46.54401016235352,18997600,446.6919860839844,4740500,61.503902435302734,453795000,176.07925415039062,8876100,211.0399932861328,22409400,95.18712615966795,9592300,139.79037475585938,10428000,198.53887939453125,3495000,116.4317398071289,27400000,383.7399902,3856400,48.64767074584961,20394400,84.64929199,10357900,284.1535949707031,3476200,359.4307556152344,2320100,141.1315460205078,43908600,373.0777893066406,3421100,53.78144836425781,28967800,57.30405426025391,22837000,295.8541564941406,2813000,107.94634246826172,5501400,187.2899932861328,103221400,82.40809631347656,6330600,155.1999969482422,50284400,393.83929443359375,47871100,48.64479064941406,29311800,158.6217803955078,4993900,167.69000244140625,133157300,144.85691833496094,21184200,155.76104736328125,8665200,42.51066207885742,51584200,163.3006134033203,5769200,501.7071533203125,5358100,196.9769287109375,5624500,617.7800293,2666800,170.4632110595703,11521800,25.482778549194336,81192100,183.2994842529297,55467800
2/1/2024,392.9281311035156,29727100,114.29557800292967,7882200,700.6450195,2039200,567.5100098,3174000,98.13475036621094,19240700,312.5159912109375,3883200,155.34701538085938,7601100,99.54006195,7666700,152.2813720703125,8012000,274.4864807128906,7065000,107.1608887,6190572,17.04873275756836,71660400,282.2236633300781,3218300,46.35352325439453,20416300,458.315918,3292700,63.00334167480469,369146000,179.18553161621094,4669400,209.80999755859372,10679200,96.18804931640624,8484800,140.22653198242188,8641100,200.99166870117188,3028300,118.4061508178711,19411000,386.4400024414063,2947100,47.573768615722656,27566100,85.18112182617188,4320000,289.3566895,3380600,366.3747863769531,1500000,142.03726196289062,25526900,372.9223633,2138500,53.67612838745117,21178700,58.73929977416992,15870900,303.1246643066406,3196300,107.47351837158205,5255200,188.8600006103516,91843300,84.28724670410156,6904600,159.27999877929688,76542400,399.9809265136719,30657700,48.64479064941406,20635700,161.6996612548828,5584400,170.47999572753906,91576700,137.63894653320312,22810600,155.3427734,6542100,42.78696441650391,38819900,166.3722381591797,4920800,497.1973876953125,4242600,192.1562347412109,7819100,627.9099731445312,1687600,169.8472900390625,9354800,25.68039321899414,53883000,185.74481201171875,64885400
2/2/2024,472.7618408203125,84615500,114.55280303955078,6499400,705.6177978515625,2377400,564.6400146484375,4030800,97.73220825195312,21968200,311.19683837890625,2585600,154.28326416015625,7937700,98.51296997070312,8961200,150.5985565185547,8295500,274.61529541015625,4848700,108.05514526367188,6103864,16.850271224975586,33245400,284.0733337402344,3629600,46.39162445,27988500,457.9778442382813,2050300,66.13516998291016,476578000,178.1213379,4054200,209.3800048828125,6271200,96.2574234,9319100,144.3511505126953,12838400,204.14669799804688,3393000,120.80681610107422,26689000,390.75,3806800,47.99356842041016,19329000,84.73632049560547,5051900,288.3568420410156,3969400,368.3898315429688,1590500,142.8633270263672,42116900,376.8181457519531,2180900,53.685794830322266,19269000,58.31546401977539,17543500,310.4148864746094,4658800,106.74981689453124,4609600,187.91000366210935,110505100,82.81917572021484,6441000,171.80999755859375,117154900,407.3509521484375,28245000,48.64479064941406,20530400,162.7416992,7870400,177.66000366210938,82078100,138.2046661376953,10440800,154.86610412597656,4922400,42.03699875,53669900,165.66490173339844,5307700,500.2267761230469,3804500,190.9875946044922,4317700,634.7600098,2542200,170.82493591308594,8607600,25.34162712097168,51663800,184.74082946777344,102518000
2/5/2024,457.2549743652344,40832400,115.1463851928711,8084500,707.2886352539062,2276900,562.0599975585938,4143100,97.32965850830078,17190900,310.0220642089844,3563300,154.4003906,6931900,97.50543975830078,10097900,149.81964111328125,9121600,273.0301208496094,4899100,108.98107147216795,7158013,16.75576400756836,31496900,286.5097045898437,5274800,45.69636917114258,15535600,454.1794434,2438800,69.30597686767578,680078000,175.8491668701172,4379600,206.6300048828125,8682500,95.78173828,11679300,144.43646240234375,8277800,203.68185424804688,3099300,122.65789031982422,22045000,390.7600098,3651900,47.54448318481445,14202700,83.88538360595703,4083400,277.6011047363281,7581900,365.8117676,1787300,144.2467803955078,29254400,372.1159362792969,2231100,52.680511474609375,14040600,57.83383941650391,12759600,316.6312255859375,6557500,106.11297607421876,4520400,181.05999755859372,134294400,82.30043029785156,6627300,170.30999755859375,55081300,401.8334045410156,25352300,47.99528503417969,19602000,165.2406768798828,6486700,174.22999572753906,76349200,140.4871063232422,8032600,154.57424926757812,4190100,42.20475769042969,28890300,165.61643981933594,5142700,493.0993347167969,3646300,187.9685516357422,4632200,630.5,2131200,170.60006713867188,7820200,25.002859115600582,42633400,186.5598907470703,69668800
2/6/2024,452.5869445800781,21655200,114.06804656982422,4637500,706.9206543,1920200,555.8800048828125,2840300,98.00057220458984,13347900,304.3410339355469,5767400,155.1323242,6185400,100.37151336669922,11368600,151.9928741455078,9229900,274.1992188,4400000,108.87818145751952,6026178,16.642362594604492,25734200,284.24237060546875,4207200,46.91544723510742,22693800,457.8983154296875,2201900,68.19739532470703,683111000,175.8395996,3337600,208.5800018310547,7556900,98.39802551269533,16455500,144.45542907714844,6198200,203.3950195,3255300,120.64006042480467,25354000,393.7399902,2573400,47.14421463012695,13926600,84.84268188476562,4667100,276.3197631835937,5927200,360.2407227,4012000,144.72451782226562,21517700,374.0298767089844,1487800,52.53551864624024,14832700,57.73751831054688,12775200,317.9316406,2825700,107.60861206054688,4777100,185.1000061035156,122676000,81.95788574,6564400,169.14999389648438,42505500,401.67486572265625,18382600,48.45090866088867,19265800,167.19932556152344,7037400,167.8800048828125,68854100,140.55540466308594,7286300,154.05868530273438,4139800,42.29877853393555,34068200,166.10093688964844,5182700,500.6581726074219,2745400,188.5821075439453,3741500,607.1400146484375,3436200,171.18667602539062,6764800,25.878007888793945,56958700,188.1702423095703,43490800
2/7/2024,467.3871765136719,23066000,116.0169906616211,7672900,715.8617553710938,2145500,559.2999877929688,4373600,97.97181701660156,13826800,284.8905944824219,8411300,155.2884521484375,7209300,101.52577209472656,9447800,151.9159698486328,8690300,276.8049011230469,4785900,109.60625457763672,5807655,16.377744674682617,33871800,287.23565673828125,3621400,46.324954986572266,17973100,459.3003234863281,2544300,70.07267761230469,495575000,176.15597534179688,4841200,211.9199981689453,7747700,98.24936676,28886300,144.2468262,6252000,206.7874298095703,3272100,124.03533935546876,25768000,397.6600036621094,3426800,47.32970047,15839600,84.28184509277344,4740100,278.9212951660156,3954700,362.1668701171875,2531800,145.9885254,21436100,375.6523438,1963200,52.71917724609375,13383300,57.785682678222656,10259900,318.7887268066406,3203000,108.38055419921876,6100700,187.5800018310547,111535200,82.07534027,5530400,170.52999877929688,47174100,410.15435791015625,22340500,48.247337341308594,16794400,168.85887145996094,6409100,170.94000244140625,53665400,142.30136108398438,7361900,154.4478302001953,4627900,42.33836364746094,34269200,166.14938354492188,5769700,509.2071838378906,4109100,189.0301055908203,3029800,615.8499755859375,2313800,171.50929260253906,7225500,25.934465408325195,36843000,188.27957153320312,53439000
2/8/2024,467.7952575683594,18815100,115.43329620361328,4472800,720.2178344726562,1918500,558.5300293,3175500,99.64909362792967,19636900,283.90850830078125,5946100,154.8200225830078,6121600,101.50621032714844,6330400,150.3966064453125,9755000,273.7377624511719,5833400,110.04151153564452,4327110,15.89576816558838,66974900,290.3283996582031,4488400,46.39162445,13577900,455.67095947265625,2081300,69.61485290527344,414422000,178.36178588867188,5161200,209.22000122070312,5787700,109.54695892333984,60558400,146.07681274414062,9237000,208.89407348632807,4136600,125.78180694580078,29326000,397.4899902,3357700,47.20278549194336,10839200,83.33420563,5938100,283.3867188,4605000,363.9745178222656,1679800,146.5260009765625,18241300,374.0784301757813,1913700,52.47752762,15822200,57.63155364990234,12874800,317.22235107421875,1986100,109.90513610839844,7715500,189.55999755859372,83034000,82.46681976,4819100,169.83999633789062,42316500,410.2137756347656,21225300,48.42182540893555,19599000,168.64659118652344,5709100,169.35000610351562,43385300,144.53501892089844,9448700,155.84860229492188,3487700,42.061256408691406,33206500,168.45553588867188,9269700,509.8934631347656,3343000,188.4068145751953,2516200,615.8599853515625,1815700,170.89337158203125,6060300,25.943878173828125,29048400,187.1960906982422,40962000
2/9/2024,465.9140930175781,18413100,115.39372253417967,5787100,719.4620361328125,1426100,561.3200073242188,3055700,97.54051971435548,20410500,280.3168945,3341100,153.6293945,5978000,102.22029113769533,5449000,150.74278259277344,6529200,274.3829650878906,4618300,110.22354125976562,4324604,15.914669036865234,44427100,289.68194580078125,4376300,47.43927383422852,15413400,455.2931213378906,2155400,72.10593414,436637000,180.27735900878903,5064600,209.1999969482422,4349700,107.41627502441406,21509100,143.2133026123047,9194500,210.1402587890625,4785100,126.63826751708984,26293000,398.3599853515625,2509800,46.91967010498047,16594000,82.18349457,8843400,280.9986877441406,3323000,367.1255187988281,1482600,149.51185607910156,21877700,373.3206481933594,2028200,52.18754196166992,13843300,57.37147521972656,15235300,312.45416259765625,2823000,107.26124572753906,5974000,193.57000732421875,84476300,81.68385314941406,4533000,174.4499969482422,56986000,416.59320068359375,22032800,48.596317291259766,24076900,167.9615478515625,3502700,172.47999572753906,56375700,147.28567504882812,11981500,157.97898864746094,3919500,42.862892150878906,51193000,162.46730041503906,12731700,508.0601196289063,2715400,189.75076293945312,3686300,627.2100219726562,2091400,171.09866333007812,6296700,25.934465408325195,29062700,187.9624786376953,45155200
2/12/2024,466.7004395,19382000,114.6022720336914,5439600,718.4774169921875,1572600,557.8499755859375,3608500,98.88233184814452,18173100,283.5040283203125,3298500,153.3268585205078,5482000,104.84182739257812,7501900,151.7909698486328,6701500,273.03302001953125,3676200,110.92787170410156,4516313,16.084779739379883,31151200,285.7241211,3750000,47.38212966918945,14973600,456.1184082,1794500,72.22087860107422,613710000,180.1032257080078,4724000,209.3300018310547,4077400,108.30818939208984,13424000,144.19940185546875,6713000,209.9325408935547,4041400,124.81877899169922,24778000,397.7099914550781,2817900,47.75926208496094,14101900,82.26085662841797,5892300,280.9695739746094,2392300,362.9373168945313,1325000,148.0288543701172,17236100,381.4620971679688,2797200,52.11987305,17162300,57.50633239746094,13516800,316.8578186035156,2483600,107.2033462524414,5802000,188.1300048828125,95498600,81.78171539,4746500,172.33999633789062,51050400,411.3529357910156,21202900,48.46060562133789,19046300,166.98707580566406,3477100,171.91000366210938,58177100,149.33399963378906,11806300,156.69493103027344,3853000,43.57545852661133,51107300,165.31607055664062,7867500,507.4914855957031,3194000,192.1952209472656,2827900,611.8400268554688,2317200,171.86123657226562,8539300,26.02857208251953,30323700,186.27044677734372,41781900
2/13/2024,457.9616088867188,20916600,112.4653549194336,8171700,710.3618774414062,1951100,554.5200195,3511500,98.03106689453124,18917400,279.7006836,3610100,152.5070801,6046800,102.70938110351562,6180500,150.4639129638672,8621000,273.7675170898437,5493800,112.1940689086914,9054930,15.971373558044434,29734600,279.5883483886719,4956600,46.39162445,15828100,457.8585205078125,2407700,72.10092926,602580000,177.72325134277344,4290500,204.4600067138672,8263600,109.4676742553711,14594500,142.7960968017578,6987100,207.37095642089844,3381700,123.50151824951172,31907000,394.7999877929688,3458500,47.09539794921875,13660100,80.82972717285156,7579400,278.7077331542969,2756100,358.37384033203125,1696900,145.67999267578125,18138500,367.9675293,3030800,50.99860000610352,17672100,57.16919708251953,24195700,308.1982422,2923200,105.91999053955078,6321100,184.0200042724609,86759500,81.69363403320312,4469900,168.63999938964844,56345100,402.4970703,27824900,48.12130737304688,23633700,167.19932556152344,5480400,171.5399932861328,63071300,146.34927368164062,8976300,152.5800781,5357900,42.71443939208984,36622200,163.6397705078125,7302000,506.7169189453125,3436000,188.9424285888672,4432100,601.8900146484375,2985200,170.36544799804688,8397600,25.37926674,37927500,184.1703643798828,56529500
